KEYWORD,MATCHING SENTENCE,PAGE URL
note,Interactive tutorial notebooks: a collection of interactive notebooks to experiment with all elements of Bokeh.,https://docs.bokeh.org/en/latest/
note,Interactive tutorial notebooks: a collection of interactive notebooks to experiment with all elements of Bokeh.,https://docs.bokeh.org/en/latest/
only,"The only
prerequisites for using these guides are a basic understanding of Python and a
working installation of Bokeh.",https://docs.bokeh.org/en/latest/docs/first_steps.html
should,"To get started
with Bokeh, you should first complete the steps described in
Installing Bokeh.",https://docs.bokeh.org/en/latest/docs/user_guide.html
only,"With only a
handful of exceptions, you will need no external libraries to run the examples.",https://docs.bokeh.org/en/latest/docs/user_guide.html
only,"Only a subset have
thumbnails here.",https://docs.bokeh.org/en/latest/docs/gallery.html
note,"notebook
bokeh.",https://docs.bokeh.org/en/latest/docs/reference.html
note,"notebook
bokeh.",https://docs.bokeh.org/en/latest/docs/reference.html
note,"Functions for controlling where and how Bokeh documents are saved
or shown, such as output_file() and output_notebook(), are in this module.",https://docs.bokeh.org/en/latest/docs/reference.html
only,"Bokeh is an open source project and only exists because of contributors like
you.",https://docs.bokeh.org/en/latest/docs/dev_guide.html
note,Note,https://docs.bokeh.org/en/latest/docs/dev_guide.html
should,"As with any donation,
you should consult with your tax adviser about your particular tax situation.",https://docs.bokeh.org/en/latest/docs/dev_guide.html
must,"All interactions on Bokeh’s
Discourse must follow Bokeh’s Code of Conduct.",https://docs.bokeh.org/en/latest/docs/dev_guide.html
note,Note,https://docs.bokeh.org/en/latest/docs/releases.html
only,Added support for xor selection mode and selection inversion (only for point selections) to select tools (pull request 13545),https://docs.bokeh.org/en/latest/docs/releases.html
only,Added support for xor selection mode and selection inversion (only for point selections) to select tools (pull request 13545),https://docs.bokeh.org/en/latest/docs/releases.html
should,Active tab should be in view on render (#11284),https://docs.bokeh.org/en/latest/docs/releases.html
should,Active tab should be in view on render (#11284),https://docs.bokeh.org/en/latest/docs/releases.html
should,Extensions should fetch exact version from CDN (#11380),https://docs.bokeh.org/en/latest/docs/releases.html
should,Extensions should fetch exact version from CDN (#11380),https://docs.bokeh.org/en/latest/docs/releases.html
only,"DataModel base class to define custom “properties-only” Bokeh subclasses
added (#3674)",https://docs.bokeh.org/en/latest/docs/releases.html
only,"DataModel base class to define custom “properties-only” Bokeh subclasses
added (#3674)",https://docs.bokeh.org/en/latest/docs/releases.html
only,“Edges Only” inspection policy added for graphs (#10637),https://docs.bokeh.org/en/latest/docs/releases.html
only,“Edges Only” inspection policy added for graphs (#10637),https://docs.bokeh.org/en/latest/docs/releases.html
note,Please note that the next release level (2.,https://docs.bokeh.org/en/latest/docs/releases.html
note,push_notebook fixed for Google Colaboratory (#9302),https://docs.bokeh.org/en/latest/docs/releases.html
note,push_notebook fixed for Google Colaboratory (#9302),https://docs.bokeh.org/en/latest/docs/releases.html
note,"Notebook integration work #8583, #8681, #8681, #8733",https://docs.bokeh.org/en/latest/docs/releases.html
note,"Notebook integration work #8583, #8681, #8681, #8733",https://docs.bokeh.org/en/latest/docs/releases.html
note,push_notebook regression in 0.,https://docs.bokeh.org/en/latest/docs/releases.html
note,push_notebook regression in 0.,https://docs.bokeh.org/en/latest/docs/releases.html
note,Bokeh applications in notebooks made simpler to create (#6565),https://docs.bokeh.org/en/latest/docs/releases.html
note,Bokeh applications in notebooks made simpler to create (#6565),https://docs.bokeh.org/en/latest/docs/releases.html
note,Bokeh apps easily viewable inline in Jupyter Notebooks (#3461),https://docs.bokeh.org/en/latest/docs/releases.html
note,Bokeh apps easily viewable inline in Jupyter Notebooks (#3461),https://docs.bokeh.org/en/latest/docs/releases.html
note,"Themes now work with components and in Jupyter notebooks
(#4722, #4952, )",https://docs.bokeh.org/en/latest/docs/releases.html
note,"Themes now work with components and in Jupyter notebooks
(#4722, #4952, )",https://docs.bokeh.org/en/latest/docs/releases.html
note,"Guidance and examples for embedding a Bokeh server directly in standalone scripts, Jupyter notebooks, and Tornado and Flask applications.",https://docs.bokeh.org/en/latest/docs/releases.html
note,"Guidance and examples for embedding a Bokeh server directly in standalone scripts, Jupyter notebooks, and Tornado and Flask applications.",https://docs.bokeh.org/en/latest/docs/releases.html
only,"Support for read-only (client-side) properties, e.",https://docs.bokeh.org/en/latest/docs/releases.html
only,"Support for read-only (client-side) properties, e.",https://docs.bokeh.org/en/latest/docs/releases.html
